"","Position","Direction","EnterDate","EnterPrice","ExitDate","ExitPrice","ProfitLoss"
"1",1,"Long",2019-01-02,61.97,2019-01-08,63.53,1.56
"2",2,"Long",2019-01-03,62.34,2019-01-09,64.69,2.34999999999999
"3",3,"Long",2019-01-04,62.37,2019-01-10,64.44,2.07
"4",4,"Long",2019-01-07,62.34,2019-01-11,63.7,1.36
"5",5,"Long",2019-01-10,64.44,2019-01-16,63.71,-0.729999999999997
"6",6,"Long",2019-03-20,68.27,2019-03-26,67.43,-0.839999999999989
"7",7,"Long",2019-03-21,67.67,2019-03-27,67.24,-0.430000000000007
"8",8,"Long",2019-03-22,66.75,2019-03-28,67.1,0.349999999999994
"9",9,"Short",2019-05-24,67.47,2019-05-31,61.99,5.48
"10",10,"Short",2019-06-03,60.46,2019-06-07,62.18,-1.72
"11",11,"Short",2019-06-04,61.08,2019-06-10,61.34,-0.260000000000005
"12",12,"Short",2019-06-05,59.53,2019-06-11,61.45,-1.92
"13",13,"Short",2019-06-06,60.52,2019-06-12,59.19,1.33000000000001
"14",14,"Short",2019-08-02,61.32,2019-08-08,57.04,4.28
"15",15,"Short",2019-08-08,57.04,2019-08-14,59.07,-2.03
"16",16,"Long",2019-09-17,63.56,2019-09-23,63.73,0.169999999999995
