"","Date","spotPrice","side"
"1",2018-11-02,72.83,"sell"
"2",2018-11-08,70.9,"buy"
"3",2018-11-14,66.47,"sell"
"4",2018-11-15,66.89,"sell"
"5",2018-11-20,62.84,"buy"
"6",2018-11-21,63.83,"sell"
"7",2018-11-21,63.83,"buy"
"8",2018-11-26,60.48,"sell"
"9",2018-11-27,60.4,"sell"
"10",2018-11-28,59.09,"buy"
"11",2018-11-29,59.91,"sell"
"12",2018-11-30,59.46,"buy"
"13",2018-12-03,61.82,"buy"
"14",2018-12-05,61.76,"buy"
"15",2018-12-19,57.45,"sell"
"16",2018-12-21,54.1,"sell"
"17",2018-12-24,50.77,"sell"
"18",2018-12-25,50.77,"sell"
"19",2018-12-25,50.77,"buy"
"20",2018-12-26,54.76,"sell"
"21",2018-12-27,52.73,"buy"
"22",2018-12-28,53.21,"buy"
"23",2018-12-31,53.8,"buy"
"24",2019-01-01,61.37,"buy"
"25",2019-01-02,61.97,"buy"
"26",2019-01-03,62.34,"buy"
"27",2019-01-04,62.37,"buy"
"28",2019-01-07,62.34,"buy"
"29",2019-01-08,63.53,"buy"
"30",2019-01-08,63.53,"sell"
"31",2019-01-09,64.69,"buy"
"32",2019-01-09,64.69,"sell"
"33",2019-01-10,64.44,"buy"
"34",2019-01-10,64.44,"sell"
"35",2019-01-11,63.7,"sell"
"36",2019-01-14,63.21,"sell"
"37",2019-01-15,63.96,"sell"
"38",2019-01-16,63.71,"sell"
"39",2019-03-20,68.27,"buy"
"40",2019-03-21,67.67,"buy"
"41",2019-03-22,66.75,"buy"
"42",2019-03-26,67.43,"sell"
"43",2019-03-27,67.24,"sell"
"44",2019-03-28,67.1,"sell"
"45",2019-05-24,67.47,"sell"
"46",2019-05-31,61.99,"buy"
"47",2019-06-03,60.46,"sell"
"48",2019-06-04,61.08,"sell"
"49",2019-06-05,59.53,"sell"
"50",2019-06-06,60.52,"sell"
"51",2019-06-07,62.18,"buy"
"52",2019-06-10,61.34,"buy"
"53",2019-06-11,61.45,"buy"
"54",2019-06-12,59.19,"buy"
"55",2019-08-02,61.32,"sell"
"56",2019-08-06,58.53,"sell"
"57",2019-08-07,55.93,"sell"
"58",2019-08-08,57.04,"sell"
"59",2019-08-08,57.04,"buy"
"60",2019-08-12,58.3,"buy"
"61",2019-08-13,60.92,"buy"
"62",2019-08-14,59.07,"buy"
"63",2019-09-17,63.56,"buy"
"64",2019-09-23,63.73,"sell"
